Name,Description,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,Combined
Die unendliche Geschichte,A troubled boy dives into a wondrous fantasy world through the pages of a mysterious book.,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,trouble boy dive wondrous fantasy world page mysterious book book story story dragon child protagonist read
Police Academy,"A group of good-hearted, but incompetent misfits enter the police academy, but the instructors there are not going to put up with their pranks.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,group good hearted incompetent misfits enter police academy instructors go put prank police academy police cadet police uniform police misfit
Splash,"A young man is reunited with a mermaid who saved him from drowning as a boy. He falls in love with her, not knowing who or what she is.",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,young man reunite mermaid save drown boy fall love know love mermaid new york city public nudity underwater scene
Tohfa,Two sisters fall for the same man. One of them sacrifices her love but she is carrying a secret.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,sisters fall man sacrifice love carry secret death sister sister relationship love triangle illegitimate son single mother
Dune: Part One,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,noble family become embroil war control galaxys valuable asset heir become trouble visions dark future mother son relationship mind control future empire sandworm
Once Upon a Time in America,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,former prohibition era jewish gangster return lower east side manhattan years later must confront ghost regret old life gangster prohibition rape flashback
The Woman in Red,A polo player's wife becomes the mystery woman in a Long Island horsy-set murder trial.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,polo players wife become mystery woman long island horsy set murder trial horse polo yacht marriage elopement
Blame It on Rio,Best friends and their daughters vacation in Rio de Janeiro only for one to fall for the other's daughter.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,best friends daughters vacation rio de janeiro fall others daughter bounce breast sex older man teenage girl infidelity outdoor sex
Lassiter,"A handsome jewel thief is arrested and in order to avoid prison, must break into the heavily guarded German Embassy to steal millions in gems.",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,handsome jewel thief arrest order avoid prison must break heavily guard german embassy steal millions gems robbery jewel thief nazi arrest train
This Is Spinal Tap,"Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour.",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,spinal tap englands loudest band chronicle film director marty dibergi prove fateful tour mockumentary parody heavy metal fake documentary rockumentary
Children of the Corn,"The film describes the events leading up to, and including, the massacre of the adults of a small town in Nebraska by their children, after the adults' irresponsibility ruins the crop and the children's future.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,film describe events lead include massacre adults small town nebraska children adults irresponsibility ruin crop childrens future cult base short story prequel supernatural horror slasher horror
Slapstick (Of Another Kind),"A rich, beautiful couple give birth to deformed alien twins who, when their heads are together, are the smartest kids on the planet.",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,rich beautiful couple give birth deform alien twin head together smartest kid planet slapstick comedy b sci fi satire comedy twin alien
"Greystoke: The Legend of Tarzan, Lord of the Apes","A missing heir of respected Scottish family, raised in African jungles by animals, finally returns to his estate only to realize that difference between the two worlds is really significant.",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,miss heir respect scottish family raise african jungles animals finally return estate realize difference worlds really significant tarzan jungle year shipwreck africa
Misunderstood,Busy and often absent father must take care of his two boys after his wife dies. They all live in Tunisia because of their father's job. The older boy is handling the difficult changes much better than the younger one.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,busy often absent father must take care boys wife die live tunisia father job older boy handle difficult change much better younger tunisia american italian production american tunisian production italian tunisian production tunisian actors
Purple Hearts,"In spite of their many differences, Cassie, a struggling singer-songwriter, and Luke, a troubled Marine, agree to marry solely for military benefits. But when tragedy strikes, the line between real and pretend begins to blur.",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,spite many differences cassie struggle singer songwriter luke trouble marine agree marry solely military benefit tragedy strike line real pretend begin blur love singer heart word title color title
Kidco,Kids start a fertilizer company only to see it almost destroyed by pesky adults. An inspirational story for enterprising children.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kid start fertilizer company see almost destroy pesky adults inspirational story enterprising children horse ranch manure horse manure fertilizer
Pursuit of Honor: The Rise of George Washington,"Through near-death experiences in war and personal triumphs and tragedies in love, George Washington becomes America's greatest hero.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,near death experience war personal triumph tragedies love george washington become americas greatest hero revolution presidency character name title
Iceman,"A prehistoric Neanderthal man found frozen in ice is revived by an arctic exploration team, who then attempt to use him for their own scientific means.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,prehistoric neanderthal man find freeze ice revive arctic exploration team attempt use scientific mean neanderthal arctic hibernation word title helicopter
The Natural History of Destruction,"Based on the book by German writer W.G. Sebald, examines the perception and processing of the phenomenon of mass destruction of the German civilian population in European post-war literature.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,base book german writer w g sebald examine perception process phenomenon mass destruction german civilian population european post war literature literature
Star Trek V: The Final Frontier,Captain Kirk and his crew must deal with Mr. Spock's long-lost half-brother who hijacks the Enterprise for an obsessive search for God at the center of the galaxy.,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,captain kirk crew must deal mr spocks long lose half brother hijack enterprise obsessive search god center galaxy human vulcan baby male alien pavel chekov character spock character sarek character
Making the Grade,MAKING THE GRADE invites us into the world of the piano lesson. Every year teachers and students throughout Ireland prepare for graded musical exams. These exams can be pleasing for some but daunting for others. Each student has t...,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,make grade invite us world piano lesson every year teachers students throughout ireland prepare grade musical exams exams please daunt others student piano exam piano teacher student teacher relationship ireland
Firestarter,"The story of Bangarra Dance Theatre through the eyes of their long standing and charismatic artistic director, Stephen Page. It is a tale of pride, heartbreak, adversity and empowerment, with the strength of Indigenous dance at it...",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,story bangarra dance theatre eye long stand charismatic artistic director stephen page tale pride heartbreak adversity empowerment strength indigenous dance nan
Bachelor Party 2: The Last Temptation,Ron wants to marry Melinda. He must first survive a bachelor party used by Melinda's brother-in-law to kill the wedding.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ron want marry melinda must first survive bachelor party use melindas brother law kill wed wed bachelor party adultery catfight stripper
Cannonball Run II,The original characters from The Cannonball Run (1981) race across the country once more in various cars and trucks.,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,original character cannonball run race country various cars truck road trip comedy car action road motor vehicle tarmac
The Muppets Take Manhattan,Kermit and his friends go to New York City to get their musical on Broadway only to find it's a more difficult task than they anticipated.,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,kermit friends go new york city get musical broadway find difficult task anticipate borough name title muppets puppetry word title action girl
Best Defense,"A military weapons engineer struggles to do his job responsibly, while a hapless tank commander has to live with the consequences in combat years later.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,military weapons engineer struggle job responsibly hapless tank commander live consequences combat years later lingerie woman top sex prologue scene open credit year
Meatballs Part II,Second in the series of Meatball movies. A group of kids attempt to save a summer camp that's a financial failure.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,second series meatball movies group kid attempt save summer camp thats financial failure motorize wheelchair cook camp counselor teenage boy rivalry
Joy of Sex,"Convinced she's dying, a pretty high school senior sets out to lose her virginity before it's too late, and encounters a boy from her school on the same mission.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,convince shes die pretty high school senior set lose virginity late encounter boy school mission loss virginity sex scene f rat title direct female foot closeup
The Philadelphia Experiment Revealed: Final Countdown to Disclosure from the Area 51 Archives,"The Philadelphia Experiment Revealed: Final Countdown to Disclosure from the Area 51 Archives The Bizarre Truth to Top Secret Experiments in Time Travel and Invisibility. In 1943, A U.S. Navy Ship vanishes during a secret World Wa...",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,philadelphia experiment reveal final countdown disclosure area archive bizarre truth top secret experiment time travel invisibility u navy ship vanish secret world wa paranormal phenomenon psychotronic film alien unidentified fly object
Cat on a Hot Tin Roof,Brick is an alcoholic ex-football player who drinks his days away and resists the affections of his wife. A reunion with his terminal father jogs a host of memories and revelations for both father and son.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,brick alcoholic ex football player drink days away resist affections wife reunion terminal father jog host memories revelations father son husband wife relationship southern gothic homosexuality base play female stock legs
Old Enough,"Twelve-year-old Lonnie Sloan is a well-to-do New York rich kid and Karen Bruckner is the more ordinary, impoverished New York kid. They happen to meet one day on the street in their neighborhood and hit it off.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,twelve year old lonnie sloan well new york rich kid karen bruckner ordinary impoverish new york kid happen meet day street neighborhood hit f rat title direct female female bond come age friendship
Dou foh sin,"A hot-headed inspector takes on a small but powerful Vietnamese-Chinese gang, after a series of crimes and murder attempts committed and putting an undercover cop and his girlfriend in great danger.",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,hot head inspector take small powerful vietnamese chinese gang series crimes murder attempt commit put undercover cop girlfriend great danger hong kong police police officer female police officer child jeopardy
Places in the Heart,"In central Texas in the 1930s, a widow with two small children tries to save her small 40-acre farm with the help of a blind boarder and an itinerant black handyman.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,central texas widow small children try save small acre farm help blind boarder itinerant black handyman mule wagon mule n word reference santa claus reference chicago cub
The Evil That Men Do,Nobody comes out of the narco world alive. A little girl walks in.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,nobody come narco world alive little girl walk tape mouth
Body at Brighton Rock,A park ranger spends the night guarding a potential crime scene on a remote mountain trail.,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,park ranger spend night guard potential crime scene remote mountain trail night mountain scene crime park ranger fear
Windy City,"The lives of a group of young Chicago men as seen through the eyes of one of them, a thirtysomething writer suffering from the early onset of midlife crisis brought on by nostalgia, his dying friend, and the wedding of his old flame.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,live group young chicago men see eye thirtysomething writer suffer early onset midlife crisis bring nostalgia die friend wed old flame watch tv man wear eyeglasses friend writer family man
Country Gold,"George Jones invites up and coming country music superstar, Troyal Brux, out on the town in Nashville the night before George is to be cryogenically frozen in 1994.",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,george jones invite come country music superstar troyal brux town nashville night george cryogenically freeze nan
Teachers,A well meaning but burned-out high school teacher tries to maintain order against the backdrop of a pending lawsuit against his school district when it comes to light they gave a diploma to an illiterate student.,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,well mean burn high school teacher try maintain order backdrop pending lawsuit school district come light give diploma illiterate student high school high school teacher black panties voyeurism voyeur
Garbo Talks,The son of a woman dying of a brain tumor tries to fulfill his mother's last wish: to meet Greta Garbo.,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,son woman die brain tumor try fulfill mother last wish meet greta garbo actress brain tumor jail terminal illness photographer
American Dreamer,Phil's a dreamer. Most dreams don't come true. Phil hates that. But that's not going to stop Phil from dreaming.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phils dreamer dream dont come true phil hat thats go stop phil dream nan
Streetwise,Gritty documentary that looks at the lives of teenagers living on the streets of Seattle.,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,gritty documentary look live teenagers live streets seattle seattle washington street life suicide prison homelessness
The Times of Harvey Milk,A documentary of the successful career and assassination of San Francisco's first elected gay city supervisor.,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,documentary successful career assassination san franciscos first elect gay city supervisor gay assassination gay right politician gay interest
Texas Killing Fields,"In the Texas bayous, a local homicide detective teams up with a cop from New York City to investigate a series of unsolved murders.",0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,texas bayous local homicide detective team cop new york city investigate series unsolved murder murder teenager scantily clothe female panties white panties upskirt
The Missing Link,"A movie about a Gay Caveman... When an unexpected outsider arrives in their camp, a microcosmic group of cave men and women find their world turned upside down by this mysterious stranger's evolved ways. When the women decide to l...",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie gay caveman unexpected outsider arrive camp microcosmic group cave men women find world turn upside mysterious strangers evolve ways women decide l bare chested male gay
Night of the Comet,"A comet wipes out most of life on Earth, leaving two Valley Girls fighting against cannibal zombies and a sinister group of scientists.",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,comet wipe life earth leave valley girls fight cannibal zombies sinister group scientists post apocalypse sister sister relationship radio station comet survival
Night Patrol,A hapless police officer is transferred to the night shift even as he clandestinely pursues a career as a stand up comedian.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hapless police officer transfer night shift even clandestinely pursue career stand comedian female nudity psychotronic film payphone pay phone parody comedy
Gallavants,"Gallavants are ants living in a their own fairy-tale land, Ganteville. The little ones have to go to school in preparation of their adult life as working ants. However, one pupil thinks he doesn't need to take lessons in order to ...",0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,gallavants ants live fairy tale land ganteville little ones go school preparation adult life work ants pupil think doesnt need take lessons order anthropomorphism ant ameisen
The Hating Game,"Resolving to achieve professional success without compromising her ethics, Lucy embarks on a ruthless game of one-upmanship against cold and efficient nemesis Joshua, a rivalry that is complicated by her growing attraction to him.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,resolve achieve professional success without compromise ethics lucy embark ruthless game upmanship cold efficient nemesis joshua rivalry complicate grow attraction rivalry job promotion elevator ride pantyhose legs pantyhose
Protocol,A woman (Goldie Hawn) saves life of Emir of Ohtar (Richard Romanus) in Washington.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,woman goldie hawn save life emir ohtar richard romanus washington press conference cocktail waitress self discovery naivete farce
Efter repetitionen,"As an aging playwright interacts with the young lead in his play after everybody's gone home, he reminisces about her mother, whom he maintained a sexual relationship with before she died.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,age playwright interact young lead play everybodys go home reminisce mother maintain sexual relationship die director actress cigarette smoke call someone idiot nudity
Asesinato en el senado de la nación,"In the Argentine of 1930s, Senator Lisandro de la Torre investigated a case of corruption in the export of meat, discovering a fraudulent plot between the national government and the British Empire, which will endanger his life.",0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,argentine senator lisandro de la torre investigate case corruption export meat discover fraudulent plot national government british empire endanger life male frontal nudity male nudity politics argentina
The Ambassador,Danish journalist Mads Brügger goes undercover as a Liberian Ambassador to embark on a dangerous yet hysterical journey to uncover the blood diamond trade in Africa.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,danish journalist mads brugger go undercover liberian ambassador embark dangerous hysterical journey uncover blood diamond trade africa tragedy diamond blood diamond africa ambassador
Balkanski spijun,"Convinced that his subtenant is a spy and an enemy of the state, a man falls into deep paranoia which leads to absurd and destructive chain of events.",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,convince subtenant spy enemy state man fall deep paranoia lead absurd destructive chain events paranoia reference joseph stalin twin brothers violence belgrade serbia
Hors les murs,"Paulo, a young pianist, meets Ilir, a bartender and bass guitar player originally from Albania. They become lovers. Confronted by his girlfriend Anka, Paulo finds himself out on the street. Despite Ilir's misgivings, Paulo moves i...",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,paulo young pianist meet ilir bartender bass guitar player originally albania become lovers confront girlfriend anka paulo find street despite ilirs misgive paulo move bisexual male bartender pianist kinky sex silent movie accompanist
The Bay Boy,A teenage boy living in a Cape Breton coal mining community during the 1930's finds himself contemplating life and is haunted by a murder he witnessed in town.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,teenage boy live cape breton coal mine community find contemplate life haunt murder witness town timeframe murder sex scene kiss
Camila,"In 1840's Buenos Aires, Argentina, a beautiful young socialite named Camila falls in love with Ladislao, a Jesuit priest. After several failed attempts at fighting his own feelings, he ultimately succumbs to her. The two later esc...",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,buenos air argentina beautiful young socialite name camila fall love ladislao jesuit priest several fail attempt fight feel ultimately succumb later esc feminist film character name title forename title period drama jesuit
The Company of Wolves,"A teenage girl in a country manor falls asleep while reading a magazine, and has a disturbing dream involving wolves prowling the woods below her bedroom window.",0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,teenage girl country manor fall asleep read magazine disturb dream involve wolves prowl woods bedroom window grandmother werewolf girl dream cult film
Ciske de Rat,A poor 11-year-old schoolboy with a heart of gold grows up in 1930s Amsterdam.,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,poor year old schoolboy heart gold grow amsterdam boy frontal nudity undress nudity male nudity male frontal nudity
Napló gyermekeimnek,"Having lost her parents to Stalin's purges, a girl returns from Soviet Union to her native Hungary to live with her Stalinist aunt.",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,lose parent stalins purge girl return soviet union native hungary live stalinist aunt central europe f rat title direct female man girl relationship eastern europe
"Szirmok, virágok, koszorúk","In 1849 the Hungarian revolution is beaten down by the Russian Army. Ferenc Majláth, who was an officer in the army of the revolution, has to choose between imprisonment or getting enlisted in the Austrian army. He chooses enlisti...",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,hungarian revolution beat russian army ferenc majlath officer army revolution choose imprisonment get enlist austrian army choose enlisti hussar hungarian hungary habsburg empire hungarian revolution
Crimes of the Future,"Humans adapt to a synthetic environment, with new transformations and mutations. With his partner Caprice, Saul Tenser, celebrity performance artist, publicly showcases the metamorphosis of his organs in avant-garde performances.",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,humans adapt synthetic environment new transformations mutations partner caprice saul tenser celebrity performance artist publicly showcases metamorphosis organs avant garde performances body horror child autopsy eat plastic organ removal transhumanism
Kærlighedens melodi,Peter live in the upper class district of Hellerup and has only one interest: jazz.,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,peter live upper class district hellerup interest jazz nan
Frankenweenie,"When a boy's beloved dog passes away suddenly, he attempts to bring the animal back to life through a powerful science experiment.",0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,boys beloved dog pass away suddenly attempt bring animal back life powerful science experiment stop motion animation remake original director dracula character alter version studio logo death pet
Henry IV: Part 1,"The first installment of what is widely acknowledged to be Shakespeare's greatest historical saga, Henry IV, Part I is an epic tale of power, treachery and war, exploring the complexity of father-son relationships. Featuring an Ol...",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,first installment widely acknowledge shakespeares greatest historical saga henry iv part epic tale power treachery war explore complexity father son relationships feature ol nan
Klassenverhältnisse,"After making the domestic servant pregnant, a woman who doubles his age, a young man of only seventeen years from the German bourgeoisie is sent by his family to the United States in order to avoid a huge scandal.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,make domestic servant pregnant woman double age young man seventeen years german bourgeoisie send family unite state order avoid huge scandal alienation f rat new german cinema class struggle brechtian
Lyubov i golubi,"Injured on the job Vasily Kuzyakin gets a ticket to the resort. There he meets femme fatale Raisa Zakharovna, and once under the charm, moves to live with her. Unfortunately, a new life is not all that sweet as dreamed hapless Vas...",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,injure job vasily kuzyakin get ticket resort meet femme fatale raisa zakharovna charm move live unfortunately new life sweet dream hapless vas russia
The Man from Toronto,The world's deadliest assassin and New York's biggest screw-up are mistaken for each other at an Airbnb rental.,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,worlds deadliest assassin new yorks biggest screw mistake airbnb rental mistake identity buddy comedy assassin airbnb team
Morgen in Alabama,"After assaulting a minister, a young defendant claims to have acted entirely by himself. His lawyer doesn't believe him and starts investigations of his own.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,assault minister young defendant claim act entirely lawyer doesnt believe start investigations right wing domestic terrorism state name title territory name title courtroom
My First Wife,The film follows the dissolution of John and Helen's marriage and the aftermath.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,film follow dissolution john helens marriage aftermath bare chested male hairy chest beard marriage hell cry man
Kaze no tani no Naushika,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,warrior pacifist princess nausicaa desperately struggle prevent war nations destroy die planet post apocalypse princess giant insect pollution die planet
A Private Function,"In post-World War II Britain, food rationing continues, leading a married couple to become involved in the flourishing bacon black market.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,post world war ii britain food ration continue lead marry couple become involve flourish bacon black market organist car british car ford ford motor vehicle
The Road to Galena,"Cole Baird has everything - a beautiful wife, successful career, large home, country club membership and expensive toys. Behind the facade, however, is a man trapped by his surroundings and falling ever behind in the pursuit of hi...",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,cole baird everything beautiful wife successful career large home country club membership expensive toy behind facade man trap surround fall ever behind pursuit hi maryland washington c
Slavnosti snezenek,"This movie is based on texts of Bohumil Hrabal, world-known Czech prosaic. It's a story (in a form of a mosaic of short episodes and pictures) about the sadness and happiness of inhabitants of Kersko (Kersko is a small woody area ...",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,movie base texts bohumil hrabal world know czech prosaic story form mosaic short episodes picture sadness happiness inhabitants kersko kersko small woody area central europe literature screen european literature screen czech literature screen humoristic literature screen
"Slunce, seno, jahody","The life of a small Czech village is suddenly in turmoil when a college student, Simon, arrives, who is introducing revolutionary innovations in dairy farming.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,life small czech village suddenly turmoil college student simon arrive introduce revolutionary innovations dairy farm provincial life neighbor province family relationships mother daughter relationship
Davitelj protiv davitelja,"A mentally-disturbed flower seller starts killing young girls on the streets of Belgrade. While the frustrated police inspector is trying to stop him, an aspiring musician finds his life and work deeply intertwined with that of a ...",0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,mentally disturb flower seller start kill young girls streets belgrade frustrate police inspector try stop aspire musician find life work deeply intertwine serial killer protagonist serial killer word title orchestra conductor
Dong dong de jiàqi,A coming-of-age story about a young brother and sister who spend a pivotal summer in the country with their grandparents.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,come age story young brother sister spend pivotal summer country grandparents grandparents children part trilogy turtle train
C'era una volta il West,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,mysterious stranger harmonica join force notorious desperado protect beautiful widow ruthless assassin work railroad harmonica former prostitute arizona territory yuma territorial prison widow
The Treasure of Swamp Castle,"In the turmoilous 18th century, young poor Hungarian aristocrat Jonas helps Szaffi, a young pretty gypsy Romani girl and the illegitimate daughter of a Turkish pasha, get the treasure that's owed to her by the right of inheritance.",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,turmoilous th century young poor hungarian aristocrat jonas help szaffi young pretty gypsy romani girl illegitimate daughter turkish pasha get treasure thats owe right inheritance romani people aristocrat th century pasha treasure
Veneno para las hadas,"A 10 year old girl convinces a lonely classmate that she is a witch, forcing the child to become her assistant. Though their games are initially rather naive, they gradually take a nasty and violent turn.",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,year old girl convince lonely classmate witch force child become assistant though game initially rather naive gradually take nasty violent turn knee sock fairy tale supernatural power folk horror year
Huang tu di,'Yellow Earth' focuses on the story of a communist soldier who is sent to the countryside to collect folk songs for the Communist Revolution. There he stays with a peasant family and learns that the happy songs he was sent to coll...,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,yellow earth focus story communist soldier send countryside collect folk songs communist revolution stay peasant family learn happy songs send coll communist song chinese army marriage folk song
Gao shan xia de hua huan,"Follows a Red Army company from training through to combat in the Sino-Vietnamese War of 1979 and the aftermath of war, focusing on the anger created by corruption among the Party elite.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,follow red army company train combat sino vietnamese war aftermath war focus anger create corruption party elite anger
Mame,"Following the death of his father, an orphan is sent to live with his free-spirited aunt.",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,follow death father orphan send live free spirit aunt reference rhett butler southern plantation roller skate department store roar twenties
Samson & Delilah,"A glue-sniffing boy and his girlfriend escape the government-controlled no-hope Aboriginal community they live in and go to the city, Alice Springs, looking for a better life.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,glue sniff boy girlfriend escape government control hope aboriginal community live go city alice spring look better life boredom aboriginal art australian aborigine poverty paint
I Dream of Jeanie,The life and career of famed American composer Stephen Foster.,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,life career famed american composer stephen foster stephen c foster character fiance fiancee relationship composer song title sarcasm
Lady Godiva Rides Again,An unsophisticated and impressionable young girl finds herself in trouble after winning a beauty pageant.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unsophisticated impressionable young girl find trouble win beauty pageant girl
The African Queen,"In WWI East Africa, a gin-swilling Canadian riverboat captain is persuaded by a strait-laced English missionary to undertake a trip up a treacherous river and use his boat to attack a German gunship.",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,wwi east africa gin swill canadian riverboat captain persuade strait lace english missionary undertake trip treacherous river use boat attack german gunship africa leech stick mud missionary death sentence
Love Story,A boy and a girl from different backgrounds fall in love regardless of their upbringing - and then tragedy strikes.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,boy girl different background fall love regardless upbringing tragedy strike love famous line baker young love atheist
The Circus Queen Murder,"Suave, lip-reading DA Thatcher Colt plans to get away from the big city for a while. So he and his secretary, Miss Kelly hop on a train for an Upstate NY town called Gilead. They expect a calm oasis, but when a small time circus r...",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,suave lip read da thatcher colt plan get away big city secretary miss kelly hop train upstate ny town call gilead expect calm oasis small time circus r b movie nd film thatcher colt series damsel distress ring circus tank town circus
